"","name","birthyear","taste","height","weight","gender"
"547","Letícia",2007,"Travel",1.68,88,"F"
"549","Kátia",1959,"Cats",2.66,65,"F"
"548","Lucas",1994,"Sports",2.84,114,"M"
"550","Letícia",2009,"Magic",1.71,89,"F"
"551","Ariel",2020,"Cats",2.77,128,"O"
"552","Larissa",1956,"Guitar",2.51,120,"F"
"553","Larissa",2004,"Movie",2.69,60,"F"
"554","David",1989,"Guitar",2.73,60,"M"
"555","Kátia",1980,"Movie",2.64,77,"F"
"557","David",2013,"Food",2.51,106,"M"
"556","Daniela",2015,"Travel",1.72,126,"F"
"558","Nina",2010,"Travel",2.8,62,"O"
"559","João",1969,"Travel",2.5,111,"O"
"561","Cesar",1968,"Guitar",1.57,122,"M"
"560","Daniela",2006,"Guitar",1.57,63,"F"
"562","Rogério",1985,"Travel",1.66,125,"M"
"563","Nina",1996,"Chess",2.91,124,"F"
"564","Ariel",1970,"Travel",2.58,116,"O"
"565","Paulo",2007,"Cats",1.79,125,"O"
"566","Ricardo",2013,"Travel",1.69,92,"M"
"568","Paulo",1968,"Guitar",1.73,72,"M"
"567","Ariel",1975,"Guitar",2.83,62,"F"
"569","Daniela",2016,"Movie",2.62,93,"F"
"570","João",2006,"Travel",1.98,81,"M"
"571","Larissa",1957,"Guitar",2.77,103,"F"
"573","João",1991,"Study",1.85,107,"M"
"572","Melissa",2005,"Food",1.51,115,"F"
"574","Rogério",1979,"Dogs",2.61,88,"O"
"575","Felipe",1975,"Study",2.86,87,"M"
"576","Letícia",1973,"Chess",1.86,91,"F"
"577","Kátia",1965,"Games",1.52,99,"O"
"578","Lucas",1964,"Food",1.55,86,"O"
"579","Matheus",2006,"Games",1.83,85,"O"
"581","Nathália",1957,"Chess",1.8,118,"F"
"580","Kátia",1981,"Sports",1.91,100,"F"
"582","Daniela",2008,"Magic",2.99,122,"F"
"583","Marcela",1969,"Movie",1.71,126,"O"
"585","Melissa",1998,"Food",1.98,106,"O"
"584","Letícia",1993,"Games",1.89,115,"F"
"586","Ariel",1971,"Sports",1.56,87,"O"
"587","Ariel",1987,"Movie",1.76,109,"M"
"588","Luis",1989,"Study",2.57,83,"M"
"589","Nina",1979,"Sports",2.79,114,"O"
"591","Letícia",1965,"Sports",1.95,83,"F"
"590","Nina",1980,"Study",1.64,64,"F"
"592","Rogério",1964,"Dogs",1.64,70,"M"
"593","João",2013,"Chess",1.68,121,"M"
"594","Ariel",1993,"Food",1.91,64,"F"
"595","David",1966,"Movie",2.56,106,"M"
"596","Ricardo",1987,"Magic",1.65,120,"M"
"598","David",1972,"Sports",1.78,110,"O"
"597","Felipe",1960,"Cats",2.61,59,"M"
"600","Daniela",1996,"Cats",1.75,85,"F"
"599","Daniela",2004,"Food",1.99,100,"F"
"601","Larissa",2002,"Study",2.9,62,"F"
"602","Letícia",1963,"Guitar",1.63,73,"O"
"603","Kátia",1996,"Cats",2.86,69,"O"
"605","Cesar",1995,"Food",2.98,126,"M"
"607","Marina",2013,"Food",1.64,77,"F"
"604","Ariel",1976,"Magic",1.78,102,"M"
"606","Lucas",2009,"Guitar",1.86,109,"O"
"608","Ariel",1981,"Guitar",2.52,123,"O"
"611","Lucas",2005,"Chess",1.62,118,"M"
"610","Kátia",1984,"Games",1.76,114,"F"
"609","João",1971,"Dogs",2.54,76,"O"
"612","Marcela",2009,"Study",1.67,117,"O"
"613","Ariel",2008,"Magic",1.97,126,"M"
"614","Nina",2009,"Games",1.97,60,"O"
"615","Kátia",2013,"Travel",1.66,108,"F"
"616","Daniel",1992,"Chess",2.83,90,"O"
"617","Ariel",1987,"Magic",1.79,76,"O"
"618","Daniel",2009,"Study",1.51,93,"M"
"620","Kátia",2013,"Study",1.9,106,"F"
"619","Felipe",2013,"Games",2.85,66,"M"
"621","David",1993,"Magic",2.74,80,"M"
"622","Marcela",1982,"Study",2.8,112,"F"
"623","Paulo",2011,"Dogs",1.6,88,"O"
"625","Paulo",2012,"Magic",2.88,125,"M"
"624","Daniela",1974,"Magic",2.57,57,"F"
"626","Daniel",1988,"Sports",1.61,75,"O"
"627","Daniel",1977,"Games",1.64,64,"O"
"628","Daniel",2005,"Cats",1.56,76,"O"
"631","Felipe",1964,"Travel",1.71,73,"M"
"630","Rogério",1971,"Food",1.78,61,"O"
"629","Marcela",2001,"Guitar",1.91,129,"F"
"632","Paulo",1983,"Dogs",1.97,80,"M"
"633","Matheus",2006,"Sports",1.81,113,"M"
"634","Cesar",2010,"Cats",1.86,61,"O"
"635","Lucas",1957,"Magic",1.67,57,"O"
"636","Matheus",1978,"Cats",2.8,56,"M"
"637","Ricardo",2011,"Sports",1.9,117,"O"
"638","Nina",1960,"Movie",1.92,86,"O"
"639","Rogério",2017,"Food",2.96,130,"O"
"640","Matheus",2010,"Food",1.5,116,"O"
"641","Lucas",2005,"Cats",2.9,72,"M"
"642","Marina",1959,"Travel",1.99,59,"F"
"643","Ariel",1979,"Chess",2.82,78,"O"
"644","Ariel",1979,"Food",2.63,127,"F"
"645","Cesar",1990,"Travel",2.6,106,"M"
"646","Matheus",2009,"Games",1.59,105,"O"
"647","Luis",1973,"Travel",2.8,61,"M"
"648","Luis",1955,"Food",1.78,104,"M"
"649","Melissa",1997,"Movie",1.51,82,"F"
"651","Rogério",2006,"Dogs",2.89,110,"O"
"652","Letícia",1973,"Chess",2.81,110,"O"
"650","Felipe",2001,"Magic",1.67,79,"O"
"653","Felipe",1985,"Cats",1.65,63,"M"
"654","Paulo",1996,"Movie",2.76,68,"O"
"656","Ariel",2002,"Sports",1.52,80,"F"
"655","Marina",2001,"Dogs",2.52,104,"F"
"657","Daniela",1965,"Movie",1.99,98,"O"
"658","Letícia",1960,"Study",1.84,121,"F"
"661","Lucas",1983,"Cats",1.73,77,"O"
"659","João",2010,"Cats",2.54,109,"M"
"660","Melissa",1959,"Sports",1.72,74,"O"
"662","Ariel",1956,"Magic",1.87,112,"F"
"663","Nathália",1963,"Cats",2.68,99,"F"
"665","Cesar",2000,"Magic",2.58,83,"O"
"664","Nina",1975,"Movie",1.66,84,"F"
"667","Kátia",2017,"Cats",1.7,75,"O"
"666","Matheus",2009,"Study",1.89,102,"M"
"668","Ariel",1968,"Movie",1.93,57,"F"
"669","Melissa",2014,"Games",1.74,76,"O"
"670","Luis",1989,"Chess",2.57,99,"M"
"673","Lucas",1990,"Guitar",2.6,58,"M"
"672","Marina",2015,"Travel",2.7,72,"F"
"671","Ariel",2020,"Food",2.92,100,"O"
"674","Daniela",2014,"Magic",2.66,123,"F"
"675","João",1966,"Cats",2.99,62,"M"
"676","Felipe",2017,"Sports",2.52,84,"O"
"677","Nina",1989,"Magic",1.65,101,"F"
"679","Marina",1967,"Cats",1.97,119,"F"
"678","Paulo",2016,"Magic",1.83,104,"M"
"681","Daniel",1961,"Dogs",2.64,128,"M"
"680","Nathália",1960,"Cats",2.96,113,"O"
"682","Lucas",1960,"Guitar",1.53,115,"O"
"683","Rogério",1965,"Guitar",2.62,87,"O"
"684","Ricardo",1970,"Chess",1.99,99,"O"
"686","Felipe",2016,"Dogs",2.64,128,"M"
"687","Melissa",1984,"Guitar",2.59,118,"F"
"685","Felipe",1956,"Study",1.6,122,"M"
"688","Paulo",1989,"Food",2.92,89,"O"
"689","Nathália",1967,"Guitar",1.84,91,"O"
"692","Lucas",2005,"Travel",1.82,115,"M"
"691","Letícia",2003,"Chess",1.71,101,"O"
"693","David",1958,"Food",2.95,114,"O"
"690","David",2019,"Movie",1.77,62,"M"
"694","Daniel",1999,"Dogs",2.55,71,"M"
"696","Cesar",1998,"Sports",1.99,105,"M"
"695","Lucas",1985,"Guitar",1.53,64,"O"
"697","Lucas",2013,"Study",1.77,87,"M"
"698","Letícia",2001,"Magic",1.79,74,"O"
"699","Matheus",1994,"Study",2.68,91,"M"
"700","Daniela",1957,"Chess",2.95,66,"O"
"701","Nina",1975,"Travel",1.57,63,"O"
"702","Felipe",2009,"Study",2.85,70,"M"
"703","Matheus",2016,"Games",1.68,80,"M"
"705","Paulo",2006,"Travel",2.54,130,"M"
"704","Nathália",1994,"Guitar",2.79,58,"O"
"706","Lucas",1975,"Dogs",2.61,60,"O"
"707","Marcela",2020,"Sports",1.8,65,"F"
"709","Daniel",2013,"Travel",1.82,71,"M"
"708","Ricardo",1979,"Travel",2.55,93,"M"
"711","Lucas",1972,"Dogs",1.72,72,"O"
"710","Ariel",1990,"Movie",1.82,109,"F"
"712","Melissa",1976,"Dogs",1.75,108,"F"
"713","Marina",1987,"Cats",2.55,64,"O"
"714","Letícia",1966,"Travel",1.85,70,"F"
"717","Marina",2012,"Study",1.85,84,"F"
"715","Marina",1955,"Study",1.84,75,"F"
"716","Daniel",1975,"Sports",2.59,116,"M"
"718","Letícia",2008,"Study",2.75,114,"F"
"719","Cesar",1999,"Travel",1.66,64,"O"
"722","Melissa",2006,"Sports",2.68,99,"F"
"720","Lucas",1979,"Study",1.96,97,"M"
"721","Matheus",1991,"Dogs",1.71,111,"M"
"723","Marcela",1978,"Dogs",2.85,111,"O"
"724","Felipe",1962,"Magic",1.58,62,"M"
"725","Matheus",1969,"Sports",1.91,101,"M"
"727","Rogério",1992,"Food",2.97,60,"M"
"726","David",2003,"Travel",2.97,110,"O"
"728","Nathália",2004,"Magic",2.51,80,"F"
"729","Kátia",1956,"Travel",2.97,89,"F"
"730","Ariel",2014,"Study",1.82,75,"M"
"731","Marina",1974,"Study",2.74,104,"F"
"732","Larissa",1960,"Chess",2.88,80,"F"
"733","Nina",2001,"Cats",1.78,75,"F"
"734","Felipe",1996,"Sports",2.89,82,"M"
"736","Daniel",2007,"Movie",2.84,90,"M"
"735","Marcela",1998,"Chess",1.63,116,"F"
"738","Daniel",2013,"Cats",2.56,96,"M"
"737","Lucas",1979,"Magic",2.52,122,"M"
"740","Larissa",2019,"Dogs",2.86,85,"O"
"739","Kátia",1997,"Magic",1.86,119,"F"
"741","David",2011,"Magic",1.91,118,"M"
"743","Marcela",1993,"Magic",1.69,82,"F"
"742","Nina",1970,"Travel",1.68,118,"O"
"744","Melissa",1988,"Food",2.75,129,"F"
"745","Ricardo",1970,"Movie",1.58,95,"O"
"746","Melissa",2008,"Dogs",2.72,79,"O"
"747","Luis",2007,"Magic",2.74,70,"O"
"748","Luis",1978,"Travel",1.76,92,"M"
"749","Ariel",1956,"Chess",1.81,116,"F"
"750","Nina",1959,"Movie",2.7,118,"F"
"751","Ricardo",2005,"Sports",2.76,95,"M"
"752","Larissa",1979,"Movie",1.52,92,"F"
"753","Luis",2007,"Magic",1.59,64,"M"
"754","João",1992,"Sports",1.68,121,"O"
"755","Nina",1961,"Movie",1.73,58,"F"
"757","Daniel",2007,"Chess",2.81,118,"M"
"756","Nina",1984,"Travel",1.53,114,"F"
"758","Luis",1968,"Movie",1.75,71,"M"
"759","Luis",2000,"Sports",1.87,91,"O"
"760","Melissa",1969,"Games",2.94,68,"F"
"761","Daniela",2009,"Sports",2.88,109,"O"
"762","Nina",1976,"Dogs",2.79,66,"O"
"764","Letícia",2006,"Sports",1.6,60,"F"
"763","João",2001,"Guitar",2.81,105,"M"
"765","João",1987,"Food",1.71,63,"O"
"766","Ricardo",1985,"Study",1.79,129,"M"
"767","Lucas",2005,"Food",1.64,116,"M"
"768","Ricardo",1965,"Cats",2.85,66,"M"
"770","Felipe",1968,"Travel",1.96,103,"M"
"771","Lucas",1996,"Sports",1.7,100,"M"
"769","Matheus",2010,"Games",2.7,128,"M"
"772","Ricardo",1985,"Movie",2.5,75,"M"
"774","Letícia",1969,"Food",2.95,130,"F"
"773","Nina",1960,"Games",2.8,110,"F"
"775","Rogério",2013,"Games",2.72,102,"M"
"776","Letícia",1978,"Study",1.7,114,"F"
"777","Ariel",2006,"Cats",1.95,70,"O"
"779","Daniela",1976,"Cats",1.66,115,"F"
"778","Rogério",1993,"Study",2.97,111,"M"
"780","Nina",1955,"Games",1.92,90,"F"
"781","Melissa",2017,"Study",1.84,97,"O"
"783","Ariel",1989,"Games",2.86,112,"O"
"782","Letícia",1956,"Dogs",2.95,94,"F"
"784","Marcela",1974,"Cats",2.58,114,"F"
"785","Kátia",1990,"Chess",1.99,62,"O"
"786","Nina",2008,"Sports",1.95,75,"O"
"787","Cesar",1989,"Sports",2.71,81,"M"
"789","Kátia",1984,"Travel",2.72,96,"O"
"788","João",2006,"Games",1.87,63,"O"
"790","Ricardo",2000,"Magic",1.88,129,"M"
"791","Paulo",1957,"Games",2.67,123,"M"
"792","Felipe",1985,"Study",2.6,59,"O"
"793","Larissa",2013,"Sports",2.77,108,"F"
"794","Nathália",1976,"Study",2.64,66,"F"
"795","Matheus",1963,"Study",2.81,117,"O"
"796","Rogério",1970,"Study",2.67,129,"M"
"797","Felipe",2020,"Chess",2.72,64,"M"
"799","Melissa",1962,"Movie",1.96,56,"F"
"800","Larissa",2016,"Guitar",2.57,103,"F"
"798","Daniela",1975,"Food",2.54,122,"O"
"802","Melissa",2018,"Study",2.7,87,"O"
"801","Ariel",1967,"Travel",1.77,109,"F"
"803","Lucas",2010,"Guitar",1.92,82,"M"
"804","Rogério",1968,"Games",2.72,107,"O"
"805","Letícia",2005,"Games",1.85,61,"O"
"806","Melissa",2003,"Movie",2.57,84,"F"
"808","David",2002,"Food",1.8,107,"M"
"807","Matheus",2010,"Cats",1.91,62,"M"
"810","Larissa",1978,"Guitar",2.58,78,"F"
"809","David",2019,"Dogs",2.88,67,"M"
"811","Cesar",2013,"Chess",2.67,117,"M"
"812","Matheus",1986,"Study",2.73,101,"M"
"813","Nina",1965,"Food",1.92,84,"O"
"814","Paulo",1997,"Magic",1.86,104,"M"
"815","Matheus",2008,"Sports",2.56,69,"M"
"816","Matheus",1990,"Study",1.75,63,"M"
"817","Marina",1986,"Guitar",1.56,103,"F"
"818","Paulo",2005,"Travel",2.54,89,"M"
"819","Daniela",1982,"Games",1.67,97,"F"
"821","Marina",2015,"Magic",2.56,66,"F"
"820","Rogério",1997,"Games",2.92,110,"M"
"822","Ariel",1956,"Study",2.81,100,"F"
"823","Daniela",1968,"Chess",2.81,71,"F"
"824","Daniela",1961,"Games",1.52,89,"F"
"825","Marina",1980,"Guitar",2.61,73,"O"
"827","Ricardo",2007,"Chess",2.65,110,"O"
"826","David",1974,"Study",1.88,79,"M"
"828","Nathália",1966,"Dogs",2.6,114,"F"
"829","Luis",2010,"Games",1.64,82,"O"
"830","Felipe",1982,"Movie",2.74,118,"O"
"831","Ariel",2019,"Chess",2.88,123,"F"
"832","Letícia",1994,"Games",2.6,122,"O"
"833","Nathália",1957,"Dogs",1.73,104,"F"
"834","Cesar",2019,"Chess",2.61,104,"M"
"835","David",1977,"Guitar",2.96,121,"M"
"836","Nathália",1984,"Games",1.9,98,"F"
"837","Letícia",2004,"Travel",1.6,125,"F"
"838","Marcela",1985,"Chess",1.81,89,"F"
"839","João",2013,"Magic",1.73,57,"O"
"840","Kátia",1981,"Travel",2.88,89,"F"
"841","Ricardo",1996,"Travel",1.81,65,"M"
"842","Cesar",1955,"Movie",2.87,57,"O"
"844","Melissa",2010,"Dogs",1.91,56,"F"
"843","Daniela",2016,"Study",1.64,120,"F"
"845","Ariel",1964,"Movie",2.52,95,"F"
"846","Paulo",2010,"Games",1.8,109,"M"
"847","Matheus",1981,"Food",2.87,59,"M"
"849","Nathália",2014,"Chess",1.91,56,"F"
"848","Daniela",1977,"Guitar",1.61,68,"F"
"851","Ariel",1985,"Food",1.89,100,"O"
"850","João",1963,"Chess",1.92,118,"O"
"852","Luis",2019,"Travel",1.91,128,"O"
"853","Felipe",2011,"Chess",2.81,91,"M"
"854","Nathália",1976,"Guitar",2.69,128,"O"
"855","David",1997,"Movie",1.96,119,"O"
"856","Daniela",1973,"Guitar",2.78,121,"F"
"857","David",2019,"Games",2.68,71,"M"
"858","Luis",1998,"Cats",2.72,106,"O"
"859","Marina",1964,"Cats",1.78,82,"O"
"860","Daniela",2015,"Magic",1.93,72,"O"
"861","João",1998,"Food",2.87,106,"M"
"862","Melissa",1990,"Dogs",2.99,119,"O"
"863","Lucas",2006,"Cats",2.85,115,"O"
"864","Nathália",1980,"Study",1.65,104,"O"
"865","Cesar",1961,"Movie",2.78,107,"M"
"868","Cesar",2011,"Dogs",1.64,89,"O"
"867","Marcela",2002,"Chess",2.83,107,"F"
"866","Ariel",2004,"Movie",1.58,121,"O"
"869","Letícia",2001,"Chess",1.88,79,"O"
"870","Lucas",2002,"Guitar",2.67,99,"O"
"871","Daniel",1978,"Guitar",2.73,123,"M"
"873","Luis",1965,"Sports",2.81,90,"M"
"872","Letícia",1961,"Guitar",2.89,124,"O"
"875","Nina",1967,"Games",2.9,104,"F"
"874","João",2017,"Movie",1.83,124,"M"
"876","Luis",1995,"Magic",1.76,61,"O"
"877","Ariel",2001,"Travel",2.55,115,"F"
"878","Marcela",1957,"Sports",1.6,120,"F"
"879","David",1969,"Movie",1.76,130,"M"
"880","Felipe",1999,"Cats",1.81,85,"O"
"882","Matheus",1973,"Games",1.83,91,"M"
"881","Luis",1970,"Food",2.94,91,"O"
"884","Daniela",1981,"Games",1.76,94,"F"
"883","Ariel",2004,"Study",1.59,77,"O"
"885","Marina",1991,"Guitar",2.54,70,"F"
"887","Matheus",1965,"Cats",2.87,56,"M"
"886","Ariel",1993,"Magic",1.88,119,"O"
"889","Marina",1972,"Games",1.63,111,"F"
"888","Nina",1975,"Magic",2.87,61,"F"
"890","Luis",1968,"Sports",2.6,106,"O"
"891","Nina",1957,"Dogs",1.58,103,"O"
"892","David",1998,"Sports",2.85,59,"M"
"893","Rogério",1981,"Dogs",1.55,111,"M"
"894","David",1985,"Study",1.89,109,"M"
"895","Marcela",1977,"Games",2.88,59,"F"
"896","Cesar",1980,"Chess",1.74,59,"M"
"897","Lucas",1989,"Food",2.64,119,"M"
"898","Ariel",1958,"Guitar",2.53,56,"F"
"899","Paulo",2017,"Food",2.72,117,"O"
"901","João",1995,"Guitar",1.67,96,"M"
"900","Daniel",1982,"Movie",1.66,79,"M"
"902","Nina",1996,"Chess",1.58,63,"F"
"903","Larissa",1983,"Dogs",1.9,81,"F"
"904","Nathália",2019,"Cats",1.57,100,"F"
"905","Lucas",1994,"Study",1.91,71,"M"
"906","David",2009,"Travel",1.59,107,"M"
"907","Ricardo",2004,"Games",2.86,113,"O"
"908","Nathália",2010,"Study",2.94,72,"F"
"910","Marina",1994,"Travel",1.71,80,"F"
"909","Felipe",1969,"Games",1.52,122,"M"
"911","Luis",1985,"Chess",2.96,126,"O"
"912","Cesar",2016,"Dogs",2.93,63,"M"
"913","Ariel",1983,"Movie",1.61,89,"F"
"915","Lucas",1994,"Dogs",1.98,87,"M"
"914","Matheus",2014,"Guitar",2.74,66,"M"
"916","Felipe",1993,"Food",2.5,88,"O"
"917","Melissa",1975,"Magic",1.72,77,"F"
"918","Letícia",1988,"Sports",1.51,56,"F"
"919","Rogério",1961,"Sports",1.66,118,"M"
"920","Matheus",2002,"Travel",1.88,76,"O"
"921","Ariel",2000,"Dogs",1.52,115,"O"
"922","Luis",1969,"Movie",1.59,60,"O"
"923","Ariel",1961,"Magic",1.52,83,"M"
"924","Lucas",1991,"Cats",2.96,56,"M"
"925","Felipe",1981,"Dogs",1.66,120,"O"
"926","Nina",1965,"Sports",1.76,60,"F"
"927","Nina",1967,"Chess",2.97,81,"O"
"928","Melissa",2015,"Food",1.64,77,"O"
"929","Marcela",2004,"Travel",2.82,86,"F"
"930","Marcela",2013,"Movie",1.93,72,"F"
"931","Daniela",1959,"Chess",2.56,96,"F"
"932","Marcela",2013,"Movie",1.75,98,"F"
"933","Lucas",1963,"Food",1.64,66,"O"
"934","Matheus",2020,"Movie",2.88,107,"M"
"935","Luis",1965,"Sports",1.87,122,"O"
"936","Marcela",1996,"Chess",2.58,122,"F"
"937","Marcela",2008,"Travel",1.79,70,"O"
"938","Ariel",1986,"Movie",2.66,103,"O"
"939","David",1970,"Travel",1.58,110,"O"
"940","Lucas",1965,"Guitar",1.7,57,"M"
"941","Paulo",2015,"Cats",1.73,74,"M"
"942","Nina",2011,"Travel",2.9,93,"F"
"943","Rogério",1999,"Guitar",2.84,69,"M"
"944","Matheus",1964,"Sports",1.85,111,"M"
"945","Ariel",1966,"Dogs",1.78,64,"F"
"946","David",2008,"Movie",1.73,94,"O"
"947","Larissa",1977,"Games",1.95,88,"O"
"948","Lucas",2006,"Movie",1.66,95,"M"
"949","Rogério",2008,"Games",1.97,104,"M"
"950","Letícia",2009,"Guitar",1.91,86,"F"
"951","Ariel",2007,"Guitar",2.94,61,"M"
"952","Matheus",2014,"Movie",1.84,73,"M"
"953","Nina",1978,"Movie",1.54,63,"F"
"954","Ariel",2007,"Cats",1.62,77,"F"
"955","Ariel",1958,"Movie",2.5,67,"F"
"956","Letícia",1970,"Games",1.99,104,"F"
"957","Felipe",2014,"Travel",2.94,120,"M"
"958","Melissa",2009,"Movie",2.96,82,"F"
"959","Marina",1983,"Cats",1.74,101,"F"
"960","Cesar",1982,"Games",2.87,107,"O"
"961","Luis",1995,"Magic",1.97,59,"M"
"962","Luis",1958,"Study",2.99,80,"O"
"963","João",2004,"Movie",1.72,120,"M"
"964","João",2002,"Magic",2.76,61,"M"
"965","Daniel",1994,"Cats",2.55,63,"O"
"966","Lucas",2015,"Games",1.5,116,"O"
"967","Marcela",1971,"Food",2.65,77,"O"
"968","Ariel",1998,"Sports",1.75,65,"O"
"969","Kátia",1967,"Food",1.54,129,"F"
"970","Daniela",1991,"Magic",2.55,60,"O"
"971","Lucas",1978,"Games",1.8,119,"O"
"972","Marcela",1964,"Sports",1.61,79,"F"
"973","Kátia",2003,"Movie",2.72,91,"F"
"974","Rogério",2010,"Magic",2.76,60,"M"
"975","Cesar",1975,"Study",2.7,123,"M"
"976","Daniel",1985,"Study",2.95,83,"O"
"977","Paulo",1996,"Cats",2.71,60,"M"
"978","Ariel",1965,"Study",2.94,99,"F"
"979","Letícia",2012,"Food",2.85,100,"F"
"980","Ricardo",1956,"Travel",1.84,59,"M"
"981","Matheus",2020,"Sports",1.6,125,"M"
"982","Lucas",1980,"Food",2.76,116,"M"
"983","David",1978,"Sports",2.74,64,"O"
"984","David",1965,"Guitar",1.51,100,"M"
"985","Daniel",1975,"Food",2.69,69,"M"
"986","Nina",1974,"Cats",2.94,68,"F"
"987","Larissa",1990,"Cats",1.53,81,"F"
"988","Ariel",1976,"Guitar",2.59,75,"M"
"989","Melissa",1960,"Cats",2.94,93,"F"
"990","Melissa",2006,"Study",1.75,64,"F"
"991","Marina",1989,"Magic",1.57,60,"F"
"992","Marcela",2000,"Food",1.86,57,"F"
"993","Cesar",1980,"Games",1.82,90,"M"
"994","Marcela",1973,"Movie",2.66,79,"O"
"995","Cesar",1972,"Guitar",2.59,122,"O"
"996","Matheus",1988,"Movie",2.9,73,"M"
"997","Melissa",1981,"Study",2.77,83,"F"
"998","Matheus",1994,"Travel",1.9,86,"M"
"999","Ariel",1994,"Sports",2.82,123,"M"
"1000","Nathália",1977,"Dogs",2.91,95,"F"
"1001","Matheus",1998,"Study",1.76,71,"M"
"1002","Rogério",2011,"Food",1.67,110,"O"
"1005","Nina",1962,"Cats",2.62,99,"F"
"1004","Nina",2006,"Cats",1.82,75,"F"
"1006","Marina",2016,"Sports",1.71,58,"F"
"1009","Felipe",1959,"Cats",2.73,75,"M"
"1008","Melissa",1994,"Food",1.53,77,"O"
"1007","Nina",1956,"Sports",1.71,122,"F"
"1010","Paulo",2011,"Sports",2.78,77,"M"
"1011","Marcela",1971,"Chess",1.96,95,"F"
"1013","Lucas",2011,"Cats",1.75,117,"M"
"1012","Cesar",1990,"Sports",2.65,78,"M"
"1014","Marcela",2010,"Food",1.74,59,"O"
"1015","Nina",1962,"Guitar",2.8,104,"F"
"1016","David",1986,"Sports",1.98,66,"O"
"1018","Kátia",1993,"Sports",1.83,109,"F"
"1017","Cesar",1984,"Travel",1.6,92,"M"
"1019","Ariel",1974,"Food",1.93,110,"O"
"1020","Nathália",1988,"Guitar",1.82,76,"F"
"1021","Ariel",1995,"Chess",1.98,64,"O"
"1023","Kátia",1987,"Dogs",2.71,77,"F"
"1022","Marcela",2001,"Games",1.65,66,"F"
"1024","Ariel",1982,"Movie",2.72,99,"O"
"1025","Rogério",1959,"Guitar",2.5,110,"M"
"1026","Marina",1974,"Dogs",2.66,81,"O"
"1028","Ariel",2014,"Dogs",2.85,97,"F"
"1027","Marcela",1965,"Cats",1.65,125,"F"
"1030","Marcela",1966,"Sports",2.7,104,"F"
"1029","Larissa",2019,"Cats",1.82,77,"F"
"1003","David",1972,"Guitar",2.63,118,"M"
"1031","Rogério",1969,"Chess",2.58,119,"O"
"1032","Larissa",1990,"Guitar",1.63,89,"F"
"1033","Marcela",2011,"Dogs",1.95,110,"O"
"1036","Nina",1957,"Movie",1.98,88,"F"
"1034","Matheus",2001,"Food",1.64,105,"M"
"1035","Daniel",2006,"Food",1.78,123,"M"
"1037","Ricardo",2007,"Dogs",1.99,119,"O"
"1038","Nathália",1975,"Study",1.77,89,"F"
"1039","Ricardo",2015,"Dogs",1.54,87,"O"
"1041","Marina",1968,"Guitar",1.67,87,"F"
"1040","Rogério",1972,"Games",1.59,80,"M"
"1043","Cesar",2019,"Cats",2.71,112,"O"
"1044","David",1958,"Travel",1.66,98,"O"
"1045","Lucas",1964,"Magic",2.53,108,"M"
"1042","Daniel",1992,"Movie",1.96,118,"O"
"1046","Nina",1987,"Food",1.66,75,"F"
"1047","Cesar",1992,"Chess",1.79,105,"O"
"1048","Felipe",1990,"Magic",2.56,128,"M"
"1050","Marcela",2013,"Food",1.53,100,"F"
"1049","João",1970,"Dogs",1.51,65,"M"
"1051","Daniel",1966,"Study",2.56,98,"O"
"1052","Paulo",2005,"Magic",2.68,70,"M"
"1053","Melissa",1962,"Guitar",1.74,66,"F"
"1055","Kátia",1984,"Dogs",1.84,77,"O"
"1054","Lucas",1955,"Travel",1.75,104,"O"
"1056","Luis",1968,"Chess",1.72,63,"M"
"1057","Marina",1960,"Sports",2.81,126,"F"
"1058","Ariel",1974,"Study",2.82,105,"M"
"1059","Kátia",2014,"Study",2.97,83,"F"
"1061","Nina",1975,"Food",2.99,116,"F"
"1060","Matheus",1997,"Food",1.56,118,"M"
"1062","João",2019,"Chess",1.64,75,"M"
"1064","Felipe",1978,"Sports",2.62,119,"M"
"1063","Nathália",1955,"Magic",2.83,99,"F"
"1065","Letícia",2010,"Travel",1.98,112,"O"
"1066","Marcela",1957,"Sports",2.87,130,"F"
"1067","Melissa",1987,"Guitar",2.79,116,"F"
"1071","Marcela",1985,"Cats",2.62,100,"O"
"1070","Matheus",1957,"Guitar",1.86,83,"O"
"1069","Melissa",1988,"Travel",2.83,65,"O"
"1068","David",1980,"Dogs",2.59,121,"M"
"1072","Rogério",2010,"Games",1.8,78,"O"
"1073","Marcela",2004,"Games",2.85,58,"F"
"1074","Marina",1963,"Guitar",2.77,110,"F"
"1076","Matheus",2013,"Cats",2.72,104,"O"
"1075","Ariel",1960,"Food",2.66,82,"M"
"1077","Kátia",2002,"Sports",1.94,115,"O"
"1079","Marcela",1975,"Sports",1.85,73,"O"
"1078","Marcela",2008,"Dogs",1.53,76,"F"
"1081","Larissa",2010,"Food",1.78,58,"F"
"1082","Cesar",1972,"Travel",2.9,94,"M"
"1083","Luis",1958,"Chess",1.99,64,"M"
"1080","Nina",1976,"Guitar",2.56,75,"F"
"1084","Ariel",1994,"Movie",2.84,85,"O"
"1085","Ariel",2013,"Chess",1.57,120,"M"
"1088","Ricardo",1974,"Magic",1.53,64,"M"
"1086","Daniela",1956,"Chess",1.67,84,"O"
"1089","Paulo",1981,"Movie",2.82,121,"O"
"1087","Marina",2013,"Chess",2.51,107,"O"
"1090","Paulo",1966,"Study",2.52,70,"M"
